Date,RELIANCE.NS,INFY.NS,TCS.NS,HDFCBANK.NS,SUNPHARMA.NS,AXISBANK.NS,HINDUNILVR.NS
23-07-2020,933.0708618,790.791687,1896.938843,535.343689,448.2769165,458.9338074,2011.887695
24-07-2020,973.1314087,803.7689819,1884.882324,529.9921265,457.3177795,443.7471924,2010.022461
27-07-2020,977.6884766,826.0657349,1928.041992,511.2379761,447.8060303,429.7555847,2021.121826
28-07-2020,987.4372559,838.607666,2017.987427,514.6242065,454.4924927,435.2327576,2040.273193
29-07-2020,950.6866455,831.0302124,1988.544556,504.1816101,464.2868042,439.0667419,2030.038574
30-07-2020,956.2185669,837.3883057,1991.558228,497.5751038,480.2496033,424.0793152,2006.099487
31-07-2020,937.2877197,841.3511353,1993.21875,489.121582,500.7328796,429.8551636,2019.165039
03-08-2020,910.9434814,833.425354,1969.4104,474.5350037,489.1492615,415.6146851,2014.231567
04-08-2020,975.149231,827.2850342,1965.523438,493.3127441,498.1430359,427.3656006,2008.109253
05-08-2020,964.1989136,822.7995605,1974.084839,486.6351624,498.0487671,433.1414795,2005.140137
06-08-2020,967.6675415,845.5751953,2016.546143,492.8627625,501.250824,431.199585,2028.804321
07-08-2020,973.2675781,828.199646,2005.406616,494.3547058,495.3178101,431.4983215,2019.759155
10-08-2020,961.2062988,828.5914307,1994.44165,497.5751038,512.1751709,429.3074951,2016.286865
11-08-2020,967.5316162,826.0657349,1991.907715,505.1524048,509.538269,446.137207,2019.850098
12-08-2020,964.7203369,831.7269287,1972.206177,503.7553101,501.1566162,449.2243347,2005.642334
13-08-2020,962.2037964,828.4609375,1969.672729,501.5532532,490.4676819,446.2368164,2008.885986
14-08-2020,958.4630127,830.5511475,1958.926147,489.9029236,500.4032288,434.0377197,1986.272217
17-08-2020,948.2835083,833.947998,1968.755493,489.0978394,497.5779724,436.3281555,2006.510498
18-08-2020,960.6168213,842.7011719,1983.040283,500.3455505,495.3648376,443.9463501,2023.231201
19-08-2020,966.5114136,835.515625,1971.551514,505.1287537,495.7422485,442.3530273,2004.272217
20-08-2020,950.868042,831.901123,1968.275269,501.529541,492.8171997,433.1414795,1997.053955
21-08-2020,943.9758911,826.3705444,1964.56189,514.1506958,502.2998962,438.6186218,2011.992798
24-08-2020,950.2785645,825.151062,1964.125244,529.0213013,503.3378601,443.9463501,2005.00293
25-08-2020,944.0892334,817.0511475,1959.363037,530.2762451,495.459137,449.9213562,1991.023804
26-08-2020,969.1185913,828.1124268,1968.843628,529.6842651,495.5063477,461.4234009,1994.403931
27-08-2020,957.0120239,824.8464355,1964.386841,526.6769409,502.2055664,471.0830383,1983.851196
28-08-2020,959.5285645,814.5690308,1955.781616,527.8136597,524.3790894,507.0827332,1966.216797
31-08-2020,943.4544067,808.7770386,1972.119385,528.4528809,490.8829346,494.6845093,1934.603149
01-09-2020,946.4244385,796.1916504,1962.596191,533.8756104,492.0152588,483.680481,1975.079468
02-09-2020,964.9924316,804.7706299,1979.021484,537.119751,485.45755,482.3858337,1956.80542
03-09-2020,957.6922607,814.8302002,2009.032837,535.5805054,493.9023438,472.9751587,1954.521362
04-09-2020,941.8900146,800.5464478,1999.684448,530.0869141,483.5232239,453.307251,1941.272827
07-09-2020,944.338623,805.6851196,2033.102051,525.9192505,484.2780762,456.7927551,1975.947632
08-09-2020,955.4250488,818.0963745,2051.580566,526.8427734,473.5688171,442.5023804,1957.353882
09-09-2020,980.0236206,808.0368042,2033.626343,519.2890015,480.5510559,429.4568481,1948.216919
10-09-2020,1049.239868,818.7495728,2036.684082,516.4711304,479.2772522,444.9919739,1949.724609
11-09-2020,1051.84729,823.6706543,2074.209473,510.8354797,477.0127258,445.3405457,1972.886597
14-09-2020,1044.048218,852.1511841,2176.690918,501.0322266,467.8130493,438.7181702,1940.22229
15-09-2020,1051.439209,855.6784668,2176.690918,506.9757996,477.8147278,447.6807251,1941.090088
16-09-2020,1054.023682,872.4880981,2186.826904,517.9393311,489.2317505,444.1455383,1958.49646
17-09-2020,1042.325195,880.5445557,2150.087646,513.1797485,483.0986023,441.0583801,1944.516724
18-09-2020,1045.47644,872.8364258,2140.434326,500.7243958,493.8079224,441.5065613,1917.562744
21-09-2020,1022.872925,879.5864258,2153.888916,496.9357605,475.2199707,421.5897217,1861.918945
22-09-2020,1002.604492,877.4960327,2204.256348,490.3528442,480.1264343,410.2868958,1851.86853
23-09-2020,1011.514343,888.1654053,2155.767822,495.9648438,474.5122986,418.0046692,1875.396118
24-09-2020,989.024353,849.538269,2037.645874,487.9848328,458.3775635,400.7765808,1883.025024
25-09-2020,998.3195801,880.9365234,2116.320801,494.4256287,462.0102539,413.3241882,1899.608887
28-09-2020,1004.916992,880.0219727,2119.814941,499.2561646,481.3059082,437.423584,1885.21814
29-09-2020,1017.975891,878.8026123,2174.071045,503.2107849,477.5787964,425.0751648,1857.715942
30-09-2020,1013.124084,878.149353,2177.47876,510.8117981,472.2006531,422.8842773,1889.740967
01-10-2020,1008.997925,886.3365479,2204.692871,524.2380371,478.286499,441.8551025,1914.182007
05-10-2020,1003.080688,913.3798218,2364.009521,527.7425537,493.5720215,442.3032227,1928.84668
06-10-2020,1002.24176,919.5200806,2371.436035,541.8317871,491.6378174,447.7803345,1933.27832
07-10-2020,1023.621094,928.9266968,2390.35083,550.4273682,482.8627625,451.2160034,1954.704468
08-10-2020,1015.345886,952.5733032,2468.763428,564.421936,494.5155945,450.0209656,1974.302856
09-10-2020,1012.716003,963.9830322,2457.624023,584.1942749,483.9478455,466.1038513,1954.978149
12-10-2020,1014.348328,986.0180664,2472.520264,574.7698975,484.8914185,466.0540466,1953.836182
13-10-2020,1034.140625,1008.401978,2469.506348,567.571228,474.74823,459.4317017,1953.65332
14-10-2020,1037.223999,990.2860107,2465.163574,573.751709,473.8518982,469.3403015,1971.88147
15-10-2020,1000.496033,965.2457275,2404.623291,553.7426147,462.6235046,460.6765137,1966.764893
16-10-2020,986.5757446,982.0119629,2424.539795,567.9974976,459.4154968,470.4357605,1964.937378
19-10-2020,986.757019,980.6182251,2379.133301,569.9866333,456.348938,490.9003296,1989.835449
20-10-2020,977.5524902,990.7213745,2403.218994,579.6478271,458.8965454,491.8961792,1985.541504
21-10-2020,963.3601074,1000.171448,2347.415283,590.421936,462.5292664,499.3650208,1976.450073
22-10-2020,955.3569336,983.3618774,2343.686279,584.0758667,458.1416626,508.1781616,1991.252197
